ssn,phone,city,maritalstatus,fullname,birthdate
323-31-1235,(04)-5179-1179,Henderson (Nevada),Divorced,Tony Villeda,1970-01-21
287-44-1327,(08)-2298-6362,Sacramento (California),Single,Elissa Otoole,1973-08-31
116-31-1496,(04)-7973-8223,Colorado Springs (Colorado),Common-Law,Lucille Soltero,1984-11-29
320-34-1286,(03)-3949-8942,Buffalo (New York),Divorced,Marjorie Dewitt,1990-01-19
279-74-1057,(09)-6473-8640,San Diego (California),Common-Law,Isaac Hannum,1974-02-13
408-83-1872,(05)-6865-1452,Greensboro (North Carolina),Married,Ingrid Wysong,1973-10-19
320-51-1828,(09)-7508-6781,Raleigh (North Carolina),Common-Law,Ollie Morin,1983-10-20
138-30-1137,(08)-3468-4289,North Las Vegas (Nevada),Divorced,Curtis Bilski,1982-03-18
429-34-1378,(03)-6745-7208,Tucson (Arizona),Divorced,Nicolette Gentry,1979-02-10
339-85-1331,(05)-3858-1247,Aurora (Colorado),Common-Law,Adrienne Saltsman,1975-09-05
238-51-1940,(04)-3339-7402,Stockton (California),Married,Cori Crenshaw,1986-08-23
144-32-1805,(09)-3468-4444,Kansas City (Missouri),Common-Law,Isabelle Jaeger,1980-09-06
381-93-1954,(07)-6486-6500,Washington (District of Columbia),Married,Inez Tryon,1970-05-14
368-93-1605,(04)-7508-7286,Anchorage (Alaska),Single,Caitlin Estill,1984-08-14
425-83-1664,(04)-3858-9187,Buffalo (New York),Single,Santos Dobson,1984-01-05
320-51-1011,(04)-9854-6681,Corpus Christi (Texas),Married,Kelley Ojeda,1990-09-13
320-25-1359,(07)-3460-2611,Fremont (California),Married,Elise Pope,1985-04-10
391-60-1529,(03)-6473-7818,Cleveland (Ohio),Married,Delphine Samaniego,1971-03-26
391-44-1137,(03)-4286-4206,Denver (Colorado),Married,Carolynn Garrick,1973-06-02
425-30-1968,(08)-1350-5867,Reno (Nevada),Single,Rita Blanco,1989-10-11
408-81-1825,(09)-5902-3554,Pittsburgh (Pennsylvania),Divorced,Aja Dees,1984-12-30
287-30-1530,(04)-9365-1114,Bakersfield (California),Common-Law,Jamie Feeley,1981-11-10
224-54-1171,(08)-9333-5952,Lubbock (Texas),Common-Law,Louise Claassen,1974-11-08
116-74-1448,(08)-5179-3997,St. Louis (Missouri),Single,Veronica Nash,1983-08-18
279-55-1753,(05)-5146-8640,Austin (Texas),Divorced,Christina Knudtson,1975-10-06
381-60-1392,(03)-1350-7370,Boise (Idaho),Married,Jesse Yardley,1974-07-13
144-81-1506,(04)-3320-3325,Mesa (Arizona),Single,Elodia Carreon,1990-03-10
323-60-1954,(09)-9292-3038,Jacksonville (Florida),Single,Nola Giesen,1981-08-20
425-81-1145,(04)-9333-3038,Fremont (California),Divorced,Hollie Adam,1989-10-20
301-93-1339,(03)-6865-3997,Stockton (California),Divorced,Johnny Ware,1990-12-19
408-18-1101,(05)-5179-4339,Baltimore (Maryland),Married,Lynelle Wooten,1987-11-17
116-54-1263,(05)-9333-8223,Santa Ana (California),Divorced,Lora Timmer,1972-04-26
238-55-1703,(04)-5179-8640,Chicago (Illinois),Divorced,Geraldo Knudtson,1983-09-04
177-46-1101,(03)-5179-6362,Lubbock (Texas),Common-Law,Drucilla Guyton,1989-03-25
339-81-1753,(05)-4286-1079,Tucson (Arizona),Common-Law,Sheri Nelson,1984-10-15
216-85-1811,(07)-2905-5241,Mesa (Arizona),Single,Otto Farr,1982-06-05
429-25-1979,(07)-5592-3345,Washington (District of Columbia),Married,Richard Weed,1974-12-14
279-85-1276,(09)-5050-5560,Anaheim (California),Single,Hector Herrington,1973-04-28
320-55-1943,(03)-5002-5867,Kansas City (Missouri),Divorced,Troy Wiseman,1971-03-17
177-82-1759,(09)-5062-9187,Plano (Texas),Common-Law,Marshall Lewellyn,1982-12-28
408-34-1676,(07)-6191-7414,Memphis (Tennessee),Divorced,Sonny Sterns,1975-05-24
177-18-1054,(03)-2926-9511,Anchorage (Alaska),Common-Law,Shayne Vanhoose,1975-07-10
138-31-1301,(07)-7504-4206,San Jose (California),Common-Law,Clinton Speciale,1969-09-14
216-85-1858,(09)-5330-2115,North Las Vegas (Nevada),Single,Alda Benny,1971-12-15
279-93-1922,(03)-6473-5965,Winston–Salem (North Carolina),Married,Dillon Eads,1977-12-11
224-30-1423,(08)-5902-7887,Tampa (Florida),Divorced,Lesha Vazquez,1986-02-04
301-55-1424,(08)-4858-5241,San Antonio (Texas),Common-Law,Blanche Felten,1975-01-26
144-44-1159,(03)-3433-8055,Richmond (Virginia),Divorced,Jeannine Pelaez,1988-09-03
224-54-1137,(05)-3433-5952,Anchorage (Alaska),Divorced,Gwendolyn Kula,1982-07-08
138-81-1202,(03)-7703-5036,Chandler (Arizona),Divorced,Livia Hyland,1987-07-16
323-32-1758,(08)-6745-3278,Dallas (Texas),Married,Kristen Pike,1975-08-19
368-30-1000,(03)-4286-1452,Kansas City (Missouri),Single,Logan Malpass,1986-05-16
138-99-1394,(08)-5592-2611,Arlington (Texas),Common-Law,Karyl Clausen,1977-08-25
301-54-1392,(09)-5330-2465,Lubbock (Texas),Common-Law,Madeline Lanier,1982-04-17
339-25-1811,(08)-2926-4870,Portland (Oregon),Common-Law,Rosemary Epperson,1974-05-07
279-74-1159,(05)-5062-3197,Lubbock (Texas),Common-Law,Ima Mifflin,1971-07-06
138-85-1043,(08)-7973-5560,Sacramento (California),Single,Enid Clabaugh,1977-07-02
429-81-1227,(05)-4286-5965,Memphis (Tennessee),Divorced,Mitchell Wilham,1983-11-17
166-34-1940,(03)-6812-8055,Sacramento (California),Divorced,Carlton New,1986-03-02
144-44-1753,(03)-7703-4339,Kansas City (Missouri),Divorced,Winifred Gans,1989-05-21
116-34-1612,(03)-3433-6781,Wichita (Kansas),Common-Law,Marci Connolly,1984-11-09
138-55-1043,(09)-2298-2735,Lexington (Kentucky),Single,Pat Wing,1975-12-01
301-31-1423,(09)-7905-2714,Miami (Florida),Common-Law,Ester Chaffins,1979-07-28
391-85-1828,(07)-4370-4634,Austin (Texas),Divorced,Tiffany Posey,1975-11-09
368-44-1647,(05)-4370-7370,Anaheim (California),Common-Law,Kiley Mantz,1976-02-14
216-44-1489,(08)-4370-7887,San Jose (California),Single,Lauren Hayner,1977-08-16
144-18-1283,(05)-9719-5075,Omaha (Nebraska),Single,Lucien Foxwell,1974-04-07
116-44-1479,(07)-5002-4606,Mesa (Arizona),Common-Law,Karyl Buzzell,1978-02-02
216-30-1811,(08)-9365-1452,Memphis (Tennessee),Common-Law,Jovita Beesley,1969-03-15
116-31-1891,(07)-5592-6922,Glendale (Arizona),Single,Reginald Koch,1985-06-20
425-44-1778,(03)-5580-6629,San Antonio (Texas),Single,Santiago Hogan,1975-05-25
279-32-1974,(05)-3949-5560,Cleveland (Ohio),Divorced,Kecia Barton,1976-02-17
177-60-1985,(03)-1350-8548,Toledo (Ohio),Married,Ismael Lo,1985-02-06
224-54-1521,(05)-2298-2735,Memphis (Tennessee),Common-Law,Rosalee Montez,1984-02-02
391-83-1666,(08)-3433-5036,Pittsburgh (Pennsylvania),Single,Rick Land,1979-06-02
116-23-1771,(05)-5125-5952,Greensboro (North Carolina),Single,Zack Cuthbert,1982-06-19
287-31-1922,(07)-2298-3325,Wichita (Kansas),Single,Guadalupe Bronson,1985-01-28
381-46-1543,(08)-9333-2735,Laredo (Texas),Married,Almeda Silvas,1987-05-16
408-82-1758,(08)-2926-9187,Sacramento (California),Single,Granville Johansen,1985-02-19
216-25-1084,(04)-2926-5970,San Diego (California),Divorced,Matt Kempf,1982-06-27
323-46-1747,(04)-5902-8942,Jacksonville (Florida),Divorced,Lucy Rochon,1978-09-20
320-51-1399,(04)-5854-6362,San Jose (California),Single,Alison Flaherty,1981-04-23
138-46-1226,(07)-6473-7370,Tucson (Arizona),Common-Law,Shani Tilghman,1977-03-13
287-31-1483,(05)-4858-7887,Phoenix (Arizona),Single,Danielle Abrams,1987-03-27
287-99-1985,(03)-3339-5965,Anaheim (California),Common-Law,Ruben Mendelson,1969-02-18
391-34-1629,(03)-7504-5970,Baton Rouge (Louisiana),Common-Law,Inez Duncan,1979-12-30
238-51-1269,(09)-6473-8548,Boise (Idaho),Single,Simon Briggs,1980-01-15
368-60-1224,(08)-4858-1079,Glendale (Arizona),Single,Reatha Wargo,1989-03-05
116-31-1954,(05)-7504-4208,Chicago (Illinois),Divorced,Keri Keeton,1973-09-09
144-30-1882,(09)-5179-4345,Newark (New Jersey),Married,Nieves Victor,1990-04-28
408-44-1747,(07)-9235-6766,Cleveland (Ohio),Married,Aimee Callier,1971-09-09
429-46-1051,(03)-3460-4606,Boise (Idaho),Single,Vina Mandell,1969-06-08
166-99-1680,(04)-6191-1478,Plano (Texas),Common-Law,Pasquale Pederson,1974-09-08
166-85-1643,(07)-6745-6480,Durham (North Carolina),Common-Law,Emilio Entwistle,1976-07-24
425-74-1849,(05)-1199-3997,Colorado Springs (Colorado),Divorced,Rae Kelley,1980-08-02
238-31-1237,(07)-8685-4345,Durham (North Carolina),Married,Joe Bunn,1976-03-25
301-46-1093,(08)-5580-7818,Atlanta (Georgia),Single,Naomi Didonato,1969-01-01
381-44-1038,(08)-3468-7208,Phoenix (Arizona),Common-Law,Moses Wilham,1981-03-30
144-85-1866,(07)-6486-3038,Lincoln (Nebraska),Married,Flora Turney,1987-05-22
408-31-1435,(04)-3858-3554,Colorado Springs (Colorado),Divorced,Philip Mason,1985-12-22
425-82-1000,(05)-4286-5560,San Diego (California),Common-Law,Crista Dockins,1977-03-02
177-54-1501,(05)-9333-9511,Durham (North Carolina),Divorced,Marci Finklea,1974-12-24
425-31-1507,(05)-1199-7527,Scottsdale (Arizona),Single,Lulu Wolff,1978-10-15
301-25-1043,(05)-7504-8055,Albuquerque (New Mexico),Divorced,Felipe Rush,1983-03-15
425-44-1718,(03)-5002-3038,Anaheim (California),Married,Bruce Janis,1972-11-07
224-74-1958,(03)-9333-7286,Milwaukee (Wisconsin),Divorced,Rosaura Graziani,1974-02-27
144-31-1512,(07)-5062-7352,Honolulu (Hawaii),Single,Akiko Woodward,1972-11-14
339-99-1012,(03)-1350-3278,Albuquerque (New Mexico),Divorced,Ocie Yale,1971-12-27
279-83-1703,(03)-5146-5119,Jersey City (New Jersey),Divorced,Miles Truong,1978-03-19
166-81-1468,(08)-9365-1433,Colorado Springs (Colorado),Married,Elouise Amend,1973-07-03
301-74-1367,(03)-9365-5867,Durham (North Carolina),Divorced,Herlinda Inouye,1986-11-21
323-60-1163,(08)-2298-4339,San Diego (California),Single,Lesha Beekman,1987-01-31
425-44-1158,(09)-2926-3563,Richmond (Virginia),Common-Law,Isabelle Vidaurri,1988-12-21
138-93-1226,(08)-5580-6480,Indianapolis[11] (Indiana),Single,Sheena Bruns,1980-01-20
368-81-1048,(05)-8685-3325,Boise (Idaho),Divorced,Geraldo Numbers,1969-12-13
144-51-1022,(03)-5050-1423,Louisville (Kentucky),Divorced,Gina Zhao,1982-03-25
391-93-1329,(04)-3858-5019,New Orleans (Louisiana),Common-Law,Renee Shultz,1984-01-25
116-23-1731,(05)-6975-8432,Mesa (Arizona),Divorced,Solomon Hopkins,1978-08-12
320-82-1883,(07)-7504-7434,Kansas City (Missouri),Divorced,Bessie Featherstone,1971-01-07
216-85-1958,(07)-5794-5970,Phoenix (Arizona),Married,Augustine Oberlander,1981-05-20
301-18-1148,(07)-6191-3325,Fort Wayne (Indiana),Common-Law,Terrence Dwyer,1986-09-23
287-34-1882,(07)-3339-3278,Miami (Florida),Married,Peter Roussel,1986-04-12
429-54-1994,(03)-9365-1079,Laredo (Texas),Married,Laquita Hannon,1978-04-02
339-74-2000,(03)-5592-4394,Fort Worth (Texas),Divorced,Kendra Woodson,1981-07-05
301-55-1074,(05)-7504-2714,Stockton (California),Married,Douglas Arrington,1972-08-29
138-18-1974,(03)-9333-5801,Albuquerque (New Mexico),Married,Vergie Wulf,1976-06-12
177-18-1312,(08)-8685-2611,Oakland (California),Married,Brant Nealy,1978-09-18
429-93-1543,(09)-5502-5075,San Francisco (California),Married,Marnie Ahern,1982-11-18
408-60-1043,(03)-5854-3038,Phoenix (Arizona),Common-Law,Blake Skeen,1986-05-27
408-55-1957,(08)-6191-5801,Las Vegas (Nevada),Married,Murray Madrigal,1970-02-25
138-54-1108,(04)-1199-6500,Memphis (Tennessee),Married,Colton Covin,1969-03-15
287-82-1943,(04)-6191-8640,New Orleans (Louisiana),Divorced,Caryl Guenther,1983-07-05
224-23-1772,(08)-7504-3278,Lubbock (Texas),Divorced,George Dinh,1969-04-11
177-25-1433,(03)-9719-2735,Irving (Texas),Divorced,Jeffrey Hoffman,1969-12-06
216-85-1374,(09)-9999-7456,Washington (District of Columbia),Divorced,Johanna Dillard,1988-10-17
138-32-1501,(09)-3949-6922,Norfolk (Virginia),Divorced,Mason Jordan,1984-03-12
138-85-1401,(07)-6865-8568,Oakland (California),Divorced,Fairy Dominguez,1981-11-30
138-31-1226,(05)-3949-6681,Fremont (California),Married,Claudio Thurmond,1970-06-02
381-31-1301,(03)-4858-7456,Glendale (Arizona),Single,Berneice Pompa,1990-02-08
429-60-1778,(08)-3433-4870,St. Petersburg (Florida),Single,Dewayne Cohen,1989-11-26
216-44-1193,(03)-4858-4983,Baton Rouge (Louisiana),Common-Law,Millie Pimentel,1972-02-17
279-30-1501,(07)-9235-7208,Tulsa (Oklahoma),Married,Almeda Combs,1977-09-26
425-99-1448,(03)-7905-5686,Bakersfield (California),Divorced,Estelle Conklin,1975-11-07
429-51-1496,(07)-1350-7456,Baltimore (Maryland),Common-Law,Noemi Levine,1983-07-08
339-31-1703,(09)-4286-6502,Richmond (Virginia),Single,Glory Vasquez,1989-06-25
429-82-1193,(08)-3433-4634,Santa Ana (California),Married,Caridad Cheng,1988-03-25
301-51-1583,(09)-4370-4339,New York (New York),Married,Earlene Alfonso,1982-07-17
301-83-1276,(07)-5580-1433,Houston (Texas),Divorced,Lionel Mcgough,1983-07-03
320-99-1871,(04)-1350-5036,Colorado Springs (Colorado),Single,Wesley Cress,1982-06-06
138-30-1506,(04)-5794-7818,Houston (Texas),Divorced,Lyda Evens,1977-07-04
368-83-1012,(05)-9854-6500,Lexington (Kentucky),Single,Tracie Clemons,1981-05-01
391-83-1811,(07)-9235-6781,Plano (Texas),Divorced,Janelle Minaya,1977-12-21
279-32-1283,(05)-9333-4983,Winston–Salem (North Carolina),Single,Henrietta Kwong,1978-10-09
301-93-1216,(04)-9235-8942,Madison (Wisconsin),Married,Milton Harman,1974-04-22
224-83-1057,(09)-3460-8548,Philadelphia[8] (Pennsylvania),Divorced,Evelyn Rosalez,1981-02-10
320-51-1193,(04)-4286-4345,St. Petersburg (Florida),Divorced,Pamela Goddard,1983-03-02
391-82-1345,(07)-9999-3325,San Bernardino (California),Married,Amanda Reed,1980-11-25
287-18-1227,(04)-9235-1114,Laredo (Texas),Common-Law,Elisabeth Paulin,1984-12-25
391-32-1067,(08)-7508-8507,Durham (North Carolina),Divorced,Crystal Rutherford,1975-02-22
323-83-1286,(09)-5854-3997,San Diego (California),Divorced,Keri Lew,1976-02-12
381-32-1883,(04)-8288-7456,New Orleans (Louisiana),Married,Glory Lombard,1978-03-20
287-34-1958,(09)-5002-2611,New York (New York),Married,Kristen Glaude,1982-05-07
408-83-1145,(09)-4858-8548,El Paso (Texas),Divorced,Teddy Mouzon,1971-05-10
287-18-1747,(08)-8685-1633,Garland (Texas),Married,Wm Lehto,1970-09-08
391-44-1514,(07)-3468-6362,Laredo (Texas),Divorced,Irma Bradshaw,1988-09-09
216-32-1732,(09)-6812-1179,Boston (Massachusetts),Single,Juliana Wren,1987-07-07
323-93-1849,(03)-5062-1079,Los Angeles (California),Common-Law,Chasity Mccormack,1983-04-20
166-55-1237,(04)-9999-1452,Fremont (California),Divorced,Bruce Masters,1985-11-05
301-54-1941,(08)-9365-5326,Lincoln (Nebraska),Common-Law,Boyce Rochelle,1975-05-26
177-18-1979,(04)-5854-2725,Louisville (Kentucky),Common-Law,Johnnie Edmiston,1970-02-06
301-60-1551,(07)-7508-8640,Saint Paul (Minnesota),Divorced,Ismael Mceachin,1989-05-04
144-25-1549,(09)-5125-8405,New York (New York),Single,Antoinette Pumphrey,1975-01-14
238-83-1332,(04)-5502-2611,Oklahoma City (Oklahoma),Married,Anneliese Harrington,1973-10-06
116-74-1968,(09)-5050-5388,Winston–Salem (North Carolina),Married,Yu Bednarz,1989-07-24
429-44-1854,(05)-9365-8432,Anaheim (California),Married,Marissa Hillery,1978-07-28
144-60-1559,(07)-1350-8405,Irving (Texas),Single,Orville Bohannon,1969-06-12
301-54-1757,(09)-5854-3554,San Jose (California),Common-Law,Hellen Dibella,1983-12-27
144-44-1051,(07)-1350-3262,Indianapolis[11] (Indiana),Married,Caitlin Miele,1972-02-15
238-30-1643,(08)-6812-7402,Long Beach (California),Married,Georgia Oquinn,1979-10-11
224-25-1535,(09)-3339-1791,Toledo (Ohio),Divorced,Jean Lane,1984-10-20
279-46-1727,(05)-9365-1764,Las Vegas (Nevada),Divorced,Catalina Tello,1970-05-15
429-85-1688,(05)-5592-8640,Cleveland (Ohio),Married,Gino Hurlbut,1984-04-08
381-85-1529,(03)-6865-4634,Fort Wayne (Indiana),Common-Law,Lottie Innis,1977-09-12
408-23-1163,(09)-5580-9187,Austin (Texas),Married,Rosalind Mancia,1990-04-18
301-30-1811,(04)-3460-8548,Chandler (Arizona),Single,Trenton Stanhope,1989-10-03
279-99-1067,(04)-6473-6502,Baton Rouge (Louisiana),Married,Loren Ennis,1987-07-11
116-54-1872,(04)-8288-7818,Fort Wayne (Indiana),Divorced,Cori Marsh,1981-07-25
216-99-1805,(07)-6865-7818,Memphis (Tennessee),Single,Dave Mueller,1969-03-24
425-18-1655,(08)-5002-9470,San Antonio (Texas),Common-Law,Ernestine Rimmer,1973-05-12
177-18-1405,(03)-8288-4394,Fort Worth (Texas),Single,Sam Gilkes,1973-06-27
408-18-1312,(03)-7905-8640,Oklahoma City (Oklahoma),Single,Gisela Mcgehee,1981-10-11
323-44-1448,(08)-6812-5202,Tucson (Arizona),Married,Pa Volkman,1988-09-13
177-25-1727,(07)-8288-9523,Durham (North Carolina),Divorced,Rosalie Conklin,1980-06-24
138-25-1732,(09)-7703-7191,Detroit (Michigan),Married,Scot Damato,1988-07-30
116-18-1849,(03)-3433-1247,Lexington (Kentucky),Single,Eleni Weymouth,1970-06-01
144-34-1954,(07)-2926-4208,Madison (Wisconsin),Common-Law,Blair Forrest,1972-03-26
391-54-1253,(07)-6486-3997,Milwaukee (Wisconsin),Divorced,Nina Watley,1972-09-15
238-82-1312,(03)-9235-9661,El Paso (Texas),Divorced,Yvette Baxter,1969-12-01
166-55-1985,(04)-3320-1478,Baltimore (Maryland),Common-Law,Lizette Cupples,1989-03-10
224-99-1051,(08)-7703-3262,San Jose (California),Single,Lea Gilbert,1990-11-02
339-81-1163,(07)-8685-5713,Los Angeles (California),Married,Luz Yokoyama,1975-06-03
279-60-1329,(07)-5330-2115,Chula Vista (California),Common-Law,Angel Cotton,1976-06-18
216-83-1825,(03)-9333-5965,Orlando (Florida),Single,Evette Enciso,1981-09-01
429-18-1413,(04)-5146-1452,Fort Wayne (Indiana),Divorced,Greg Chavira,1972-03-21
224-85-1979,(08)-5179-4606,North Las Vegas (Nevada),Common-Law,Salena Chill,1987-04-01
177-18-1822,(07)-2905-3563,Lexington (Kentucky),Married,Emily Seaton,1990-08-22
177-82-1676,(05)-5179-1478,Stockton (California),Divorced,Alda Broadwater,1969-06-28
323-93-1635,(03)-6191-5952,Corpus Christi (Texas),Single,Allyson Pyne,1984-10-31
429-46-1289,(09)-5050-9523,Fresno (California),Common-Law,Christy Gilkes,1990-08-11
138-30-1469,(09)-1350-7818,Indianapolis[11] (Indiana),Divorced,Dexter Bergstrom,1982-06-22
391-82-1943,(07)-6812-6362,Louisville (Kentucky),Common-Law,Isaac Garibay,1990-08-22
368-55-1907,(03)-4286-5019,Winston–Salem (North Carolina),Single,Kasey Hood,1983-05-28
429-30-1240,(04)-5854-5326,Garland (Texas),Divorced,Shaniqua Dice,1987-06-06
323-81-1940,(05)-8685-5560,Dallas (Texas),Married,Helga Walter,1989-02-06
391-25-1324,(08)-4370-4206,Scottsdale (Arizona),Divorced,Selena Gent,1989-10-11
408-55-1021,(09)-5050-9470,Albuquerque (New Mexico),Common-Law,Polly Sosa,1970-12-22
381-60-1759,(05)-5062-2735,Charlotte (North Carolina),Common-Law,Vonda Hymes,1971-06-13
216-51-1732,(07)-6975-7414,Arlington (Texas),Single,Shaunna Steel,1984-09-12
144-99-1732,(03)-9235-1633,Columbus (Ohio),Divorced,Preston Deleon,1970-05-15
368-55-1000,(05)-9365-4339,Henderson (Nevada),Single,Aurelio Pyatt,1978-10-22
391-83-1053,(08)-7905-6480,San Jose (California),Married,Lynda Roe,1988-07-14
429-93-1957,(04)-7504-3345,Chicago (Illinois),Married,Samantha Frias,1983-01-12
429-60-1957,(09)-3468-2315,St. Louis (Missouri),Single,Gabriela Chavira,1972-09-19
339-85-1811,(03)-3320-4206,New Orleans (Louisiana),Married,Beatriz Velazquez,1981-06-09
144-82-1048,(09)-1350-3554,Jacksonville (Florida),Single,Oscar Newsome,1981-04-15
429-46-1224,(09)-7973-6629,Norfolk (Virginia),Common-Law,Contessa Doughty,1983-10-07
320-74-1433,(07)-6473-4176,Toledo (Ohio),Married,Lowell Le,1985-11-24
138-51-1217,(09)-6745-2611,Washington (District of Columbia),Common-Law,Mayme Dement,1989-05-02
116-31-1227,(08)-9719-8968,Denver (Colorado),Married,Anissa Tedford,1974-06-02
425-51-1483,(03)-6812-5241,Albuquerque (New Mexico),Divorced,Elias Ware,1972-04-20
177-32-1315,(03)-6865-6922,Washington (District of Columbia),Common-Law,Mandy Phillips,1973-11-06
238-32-1563,(05)-8435-9130,Sacramento (California),Single,Jim Link,1989-07-24
138-31-1107,(08)-5050-7659,Austin (Texas),Divorced,Albert Wellington,1970-03-27
368-51-1732,(03)-4858-9661,Boise (Idaho),Divorced,Justin Milliner,1988-08-24
323-51-1772,(05)-4370-8968,St. Petersburg (Florida),Married,Reynaldo Riley,1990-10-10
224-25-1512,(04)-3460-8193,New Orleans (Louisiana),Divorced,Estelle Mccaffery,1986-06-11
144-93-1506,(08)-3433-5388,New York (New York),Divorced,Lakia Blount,1974-05-24
144-25-1291,(07)-9235-8968,Colorado Springs (Colorado),Married,Louise Gore,1979-08-28
429-93-1463,(05)-2926-5867,Kansas City (Missouri),Single,Jonathon Schank,1973-12-10
391-46-1341,(03)-8288-3038,Philadelphia[8] (Pennsylvania),Married,Mai Garcia,1977-07-11
320-25-1747,(08)-6975-8567,Minneapolis (Minnesota),Married,Jon Zuniga,1990-11-29
279-46-1376,(09)-5794-8942,Baton Rouge (Louisiana),Married,Arturo Sampson,1980-01-14
381-99-1301,(03)-6473-6681,Glendale (Arizona),Divorced,Taren Dorman,1987-06-04
279-81-1543,(07)-1350-2315,El Paso (Texas),Single,Hugo Kong,1970-02-20
116-99-1854,(08)-5330-4289,Sacramento (California),Single,Lorina Hall,1984-11-01
138-44-1768,(05)-6191-9114,San Antonio (Texas),Divorced,Ronald Ludwig,1977-11-03
391-99-1006,(08)-7905-3345,Portland (Oregon),Divorced,Marcell Claybrooks,1983-05-23
429-99-1871,(08)-6473-8968,Pittsburgh (Pennsylvania),Single,Adam Lefebvre,1987-11-21
177-60-1489,(03)-7508-2115,Greensboro (North Carolina),Divorced,Georgia Dee,1972-08-22
